timestamp,humidity,context_humidity,date (Asia/Kolkata)
1694491378114,87.0,{},2023-09-12 09:32:58.114000+05:30
1694490997070,89.0,{},2023-09-12 09:26:37.070000+05:30
1694448736513,95.0,{},2023-09-11 21:42:16.513000+05:30
1694447973848,95.0,{},2023-09-11 21:29:33.848000+05:30
1694447592219,94.0,{},2023-09-11 21:23:12.219000+05:30
1694447210837,94.0,{},2023-09-11 21:16:50.837000+05:30
1694446829460,94.0,{},2023-09-11 21:10:29.460000+05:30
1694446448239,93.0,{},2023-09-11 21:04:08.239000+05:30
1694445686047,92.0,{},2023-09-11 20:51:26.047000+05:30
1694445305429,90.0,{},2023-09-11 20:45:05.429000+05:30
1694444160724,87.0,{},2023-09-11 20:26:00.724000+05:30
1694443779272,86.0,{},2023-09-11 20:19:39.272000+05:30
1694443397982,85.0,{},2023-09-11 20:13:17.982000+05:30
1694443016724,85.0,{},2023-09-11 20:06:56.724000+05:30
1694442635371,84.0,{},2023-09-11 20:00:35.371000+05:30
1694442254102,83.0,{},2023-09-11 19:54:14.102000+05:30
1694441872768,82.0,{},2023-09-11 19:47:52.768000+05:30
1694441491615,82.0,{},2023-09-11 19:41:31.615000+05:30
1694441110181,82.0,{},2023-09-11 19:35:10.181000+05:30
1694440728754,82.0,{},2023-09-11 19:28:48.754000+05:30
1694440347328,82.0,{},2023-09-11 19:22:27.328000+05:30
1694439966061,82.0,{},2023-09-11 19:16:06.061000+05:30
1694439584735,83.0,{},2023-09-11 19:09:44.735000+05:30
1694439203069,81.0,{},2023-09-11 19:03:23.069000+05:30
1694438821644,80.0,{},2023-09-11 18:57:01.644000+05:30
1694438440335,78.0,{},2023-09-11 18:50:40.335000+05:30
1694438058994,78.0,{},2023-09-11 18:44:18.994000+05:30
1694437677568,79.0,{},2023-09-11 18:37:57.568000+05:30
1694437296181,79.0,{},2023-09-11 18:31:36.181000+05:30
1694436914804,81.0,{},2023-09-11 18:25:14.804000+05:30
1694436533455,83.0,{},2023-09-11 18:18:53.455000+05:30
1694354852952,95.0,{},2023-09-10 19:37:32.952000+05:30
1694354472292,95.0,{},2023-09-10 19:31:12.292000+05:30
1694354090178,95.0,{},2023-09-10 19:24:50.178000+05:30
1694353708542,95.0,{},2023-09-10 19:18:28.542000+05:30
1694353327103,95.0,{},2023-09-10 19:12:07.103000+05:30
1694352945699,94.0,{},2023-09-10 19:05:45.699000+05:30
1694352564226,92.0,{},2023-09-10 18:59:24.226000+05:30
1694352182717,91.0,{},2023-09-10 18:53:02.717000+05:30
1694351801262,91.0,{},2023-09-10 18:46:41.262000+05:30
1694351420170,90.0,{},2023-09-10 18:40:20.170000+05:30
1694351038302,91.0,{},2023-09-10 18:33:58.302000+05:30
1694350657136,89.0,{},2023-09-10 18:27:37.136000+05:30
1694350275413,89.0,{},2023-09-10 18:21:15.413000+05:30
1694349893725,89.0,{},2023-09-10 18:14:53.725000+05:30
1694349512451,87.0,{},2023-09-10 18:08:32.451000+05:30
1694349130672,87.0,{},2023-09-10 18:02:10.672000+05:30
1694348749453,86.0,{},2023-09-10 17:55:49.453000+05:30
1694348369364,85.0,{},2023-09-10 17:49:29.364000+05:30
1694347986124,86.0,{},2023-09-10 17:43:06.124000+05:30
1694347604455,86.0,{},2023-09-10 17:36:44.455000+05:30
1694347224977,88.0,{},2023-09-10 17:30:24.977000+05:30
1694346841371,90.0,{},2023-09-10 17:24:01.371000+05:30
1694346459663,91.0,{},2023-09-10 17:17:39.663000+05:30
1694346086007,86.0,{},2023-09-10 17:11:26.007000+05:30
1694345706315,87.0,{},2023-09-10 17:05:06.315000+05:30
1694345322742,82.0,{},2023-09-10 16:58:42.742000+05:30
1694344941043,80.0,{},2023-09-10 16:52:21.043000+05:30
1694344559374,79.0,{},2023-09-10 16:45:59.374000+05:30
1694344177715,82.0,{},2023-09-10 16:39:37.715000+05:30
1694343795958,84.0,{},2023-09-10 16:33:15.958000+05:30
1694343416018,83.0,{},2023-09-10 16:26:56.018000+05:30
1694343032505,87.0,{},2023-09-10 16:20:32.505000+05:30
1694342650776,85.0,{},2023-09-10 16:14:10.776000+05:30
1694342270840,83.0,{},2023-09-10 16:07:50.840000+05:30
1694341887460,82.0,{},2023-09-10 16:01:27.460000+05:30
1694341505638,81.0,{},2023-09-10 15:55:05.638000+05:30
1694341125630,78.0,{},2023-09-10 15:48:45.630000+05:30
1694340360217,74.0,{},2023-09-10 15:36:00.217000+05:30
1694339978400,80.0,{},2023-09-10 15:29:38.400000+05:30
1694339596551,79.0,{},2023-09-10 15:23:16.551000+05:30
1694339214775,77.0,{},2023-09-10 15:16:54.775000+05:30
1694338834287,75.0,{},2023-09-10 15:10:34.287000+05:30
1694338450994,72.0,{},2023-09-10 15:04:10.994000+05:30
1694338069089,71.0,{},2023-09-10 14:57:49.089000+05:30
1694337687119,71.0,{},2023-09-10 14:51:27.119000+05:30
1694337305188,72.0,{},2023-09-10 14:45:05.188000+05:30
1694336923254,73.0,{},2023-09-10 14:38:43.254000+05:30
1694336541368,75.0,{},2023-09-10 14:32:21.368000+05:30
1694336159535,72.0,{},2023-09-10 14:25:59.535000+05:30
1694335777732,73.0,{},2023-09-10 14:19:37.732000+05:30
1694335395904,74.0,{},2023-09-10 14:13:15.904000+05:30
1694335014101,72.0,{},2023-09-10 14:06:54.101000+05:30
1694334632287,72.0,{},2023-09-10 14:00:32.287000+05:30
1694334252454,72.0,{},2023-09-10 13:54:12.454000+05:30
1694333868755,73.0,{},2023-09-10 13:47:48.755000+05:30
1694333486773,72.0,{},2023-09-10 13:41:26.773000+05:30
1694333104779,77.0,{},2023-09-10 13:35:04.779000+05:30
1694332723191,80.0,{},2023-09-10 13:28:43.191000+05:30
1694332341157,82.0,{},2023-09-10 13:22:21.157000+05:30
1694331959494,86.0,{},2023-09-10 13:15:59.494000+05:30
1694331577891,83.0,{},2023-09-10 13:09:37.891000+05:30
1694331196154,84.0,{},2023-09-10 13:03:16.154000+05:30
1694330814467,88.0,{},2023-09-10 12:56:54.467000+05:30
1694330432736,86.0,{},2023-09-10 12:50:32.736000+05:30
1694330051156,87.0,{},2023-09-10 12:44:11.156000+05:30
1694329671582,89.0,{},2023-09-10 12:37:51.582000+05:30
1694329287810,0.0,{},2023-09-10 12:31:27.810000+05:30
1694325852329,0.0,{},2023-09-10 11:34:12.329000+05:30
1694325470535,0.0,{},2023-09-10 11:27:50.535000+05:30
1694093812032,95.0,{},2023-09-07 19:06:52.032000+05:30
1694093429465,95.0,{},2023-09-07 19:00:29.465000+05:30
1694093047423,95.0,{},2023-09-07 18:54:07.423000+05:30
1694092284344,95.0,{},2023-09-07 18:41:24.344000+05:30
1694091903088,95.0,{},2023-09-07 18:35:03.088000+05:30
1694091521395,95.0,{},2023-09-07 18:28:41.395000+05:30
1694091139884,95.0,{},2023-09-07 18:22:19.884000+05:30
1694090760527,95.0,{},2023-09-07 18:16:00.527000+05:30
1694090376848,95.0,{},2023-09-07 18:09:36.848000+05:30
1694089995348,95.0,{},2023-09-07 18:03:15.348000+05:30
1694089613859,95.0,{},2023-09-07 17:56:53.859000+05:30
1694089232413,95.0,{},2023-09-07 17:50:32.413000+05:30
1694088850841,95.0,{},2023-09-07 17:44:10.841000+05:30
1694088469333,95.0,{},2023-09-07 17:37:49.333000+05:30
1694088087818,95.0,{},2023-09-07 17:31:27.818000+05:30
1694087706300,95.0,{},2023-09-07 17:25:06.300000+05:30
1694087324785,95.0,{},2023-09-07 17:18:44.785000+05:30
1694086943266,93.0,{},2023-09-07 17:12:23.266000+05:30
1694086561865,94.0,{},2023-09-07 17:06:01.865000+05:30
1694086180151,95.0,{},2023-09-07 16:59:40.151000+05:30
1694085798536,95.0,{},2023-09-07 16:53:18.536000+05:30
1694085416926,94.0,{},2023-09-07 16:46:56.926000+05:30
1694085035330,94.0,{},2023-09-07 16:40:35.330000+05:30
1694084653734,93.0,{},2023-09-07 16:34:13.734000+05:30
1694084272102,92.0,{},2023-09-07 16:27:52.102000+05:30
1694083890483,91.0,{},2023-09-07 16:21:30.483000+05:30
1694083508846,88.0,{},2023-09-07 16:15:08.846000+05:30
1694083127194,87.0,{},2023-09-07 16:08:47.194000+05:30
1694082745597,87.0,{},2023-09-07 16:02:25.597000+05:30
1694082364288,86.0,{},2023-09-07 15:56:04.288000+05:30
1694081982542,84.0,{},2023-09-07 15:49:42.542000+05:30
1694081601312,83.0,{},2023-09-07 15:43:21.312000+05:30
1694081219436,80.0,{},2023-09-07 15:36:59.436000+05:30
1694080837407,81.0,{},2023-09-07 15:30:37.407000+05:30
1694080455711,83.0,{},2023-09-07 15:24:15.711000+05:30
1694080074017,0.0,{},2023-09-07 15:17:54.017000+05:30
1693849931819,83.0,{},2023-09-04 23:22:11.819000+05:30
1693849550163,81.0,{},2023-09-04 23:15:50.163000+05:30
1693849168511,81.0,{},2023-09-04 23:09:28.511000+05:30
1693848788606,79.0,{},2023-09-04 23:03:08.606000+05:30
1693848405200,78.0,{},2023-09-04 22:56:45.200000+05:30
1693848023461,78.0,{},2023-09-04 22:50:23.461000+05:30
1693847261597,76.0,{},2023-09-04 22:37:41.597000+05:30
1693846496554,74.0,{},2023-09-04 22:24:56.554000+05:30
1693846114809,75.0,{},2023-09-04 22:18:34.809000+05:30
1693845733104,75.0,{},2023-09-04 22:12:13.104000+05:30
1693845352025,75.0,{},2023-09-04 22:05:52.025000+05:30
1693844969639,78.0,{},2023-09-04 21:59:29.639000+05:30
1693844587893,79.0,{},2023-09-04 21:53:07.893000+05:30
1693844206097,77.0,{},2023-09-04 21:46:46.097000+05:30
1693843824320,77.0,{},2023-09-04 21:40:24.320000+05:30
1693843442578,0.0,{},2023-09-04 21:34:02.578000+05:30
1693843061693,76.0,{},2023-09-04 21:27:41.693000+05:30
1693842678910,75.0,{},2023-09-04 21:21:18.910000+05:30
1693757259055,80.0,{},2023-09-03 21:37:39.055000+05:30
1693756877156,77.0,{},2023-09-03 21:31:17.156000+05:30
1693756495425,77.0,{},2023-09-03 21:24:55.425000+05:30
1693756113467,77.0,{},2023-09-03 21:18:33.467000+05:30
1693755731663,74.0,{},2023-09-03 21:12:11.663000+05:30
1693755349821,74.0,{},2023-09-03 21:05:49.821000+05:30
1693754967941,75.0,{},2023-09-03 20:59:27.941000+05:30
1693754586045,75.0,{},2023-09-03 20:53:06.045000+05:30
1693754204192,76.0,{},2023-09-03 20:46:44.192000+05:30
1693753822442,75.0,{},2023-09-03 20:40:22.442000+05:30
1693753440921,75.0,{},2023-09-03 20:34:00.921000+05:30
1693753058493,76.0,{},2023-09-03 20:27:38.493000+05:30
1693752676561,74.0,{},2023-09-03 20:21:16.561000+05:30
1693752296549,75.0,{},2023-09-03 20:14:56.549000+05:30
