timestamp,pond-temperature,context_pond-temperature,date
1640232566018,19.56,{},2021-12-23 09:39:26.018000+05:30
1640232194863,19.63,{},2021-12-23 09:33:14.863000+05:30
1640231823734,19.69,{},2021-12-23 09:27:03.734000+05:30
1640231452639,19.63,{},2021-12-23 09:20:52.639000+05:30
1640231081579,19.56,{},2021-12-23 09:14:41.579000+05:30
1640230710558,19.56,{},2021-12-23 09:08:30.558000+05:30
1640230339576,19.56,{},2021-12-23 09:02:19.576000+05:30
1640229968645,19.56,{},2021-12-23 08:56:08.645000+05:30
1640229597726,19.56,{},2021-12-23 08:49:57.726000+05:30
1640229226805,19.63,{},2021-12-23 08:43:46.805000+05:30
1640228855962,19.63,{},2021-12-23 08:37:35.962000+05:30
1640228493066,19.5,{},2021-12-23 08:31:33.066000+05:30
1640228122257,19.56,{},2021-12-23 08:25:22.257000+05:30
1640227751469,19.56,{},2021-12-23 08:19:11.469000+05:30
1640227380681,19.56,{},2021-12-23 08:13:00.681000+05:30
1640227009938,19.56,{},2021-12-23 08:06:49.938000+05:30
1640226639220,19.69,{},2021-12-23 08:00:39.220000+05:30
1640226268530,19.63,{},2021-12-23 07:54:28.530000+05:30
1640225897847,19.63,{},2021-12-23 07:48:17.847000+05:30
1640225527170,19.75,{},2021-12-23 07:42:07.170000+05:30
1640225156536,19.81,{},2021-12-23 07:35:56.536000+05:30
1640224785853,19.81,{},2021-12-23 07:29:45.853000+05:30
1640224415215,19.81,{},2021-12-23 07:23:35.215000+05:30
1640224044554,19.88,{},2021-12-23 07:17:24.554000+05:30
1640223673902,19.88,{},2021-12-23 07:11:13.902000+05:30
1640223303257,19.94,{},2021-12-23 07:05:03.257000+05:30
1640193959665,20.56,{},2021-12-22 22:55:59.665000+05:30
1640193588578,20.69,{},2021-12-22 22:49:48.578000+05:30
1640192846386,20.56,{},2021-12-22 22:37:26.386000+05:30
1640192475279,20.63,{},2021-12-22 22:31:15.279000+05:30
1640192104160,20.63,{},2021-12-22 22:25:04.160000+05:30
1640191733041,20.69,{},2021-12-22 22:18:53.041000+05:30
1640191361899,20.69,{},2021-12-22 22:12:41.899000+05:30
