timestamp,current,context_current,date (Asia/Kolkata)
1665086433559,0.612,{},2022-10-07 01:30:33.559000+05:30
1665086371644,0.622,{},2022-10-07 01:29:31.644000+05:30
1665086309744,0.641,{},2022-10-07 01:28:29.744000+05:30
1665086247868,0.483,{},2022-10-07 01:27:27.868000+05:30
1665086185981,0.484,{},2022-10-07 01:26:25.981000+05:30
1665086124063,0.476,{},2022-10-07 01:25:24.063000+05:30
1665086062141,0.482,{},2022-10-07 01:24:22.141000+05:30
1665086000205,0.481,{},2022-10-07 01:23:20.205000+05:30
1665085938274,0.478,{},2022-10-07 01:22:18.274000+05:30
1665085876327,0.486,{},2022-10-07 01:21:16.327000+05:30
1665085814382,0.474,{},2022-10-07 01:20:14.382000+05:30
1665085752494,0.471,{},2022-10-07 01:19:12.494000+05:30
1665085690615,0.471,{},2022-10-07 01:18:10.615000+05:30
1665085628697,0.482,{},2022-10-07 01:17:08.697000+05:30
1665085566847,0.471,{},2022-10-07 01:16:06.847000+05:30
1665085504990,0.478,{},2022-10-07 01:15:04.990000+05:30
1665085443119,0.48,{},2022-10-07 01:14:03.119000+05:30
